T,N,T_H,M_S,M_H,S_S,S_H
TIMSS,Armenia,851,452,139,416,54
TIMSS,Australia,1008,516,230,516,65
TIMSS,Austria,808,508,146,532,96
TIMSS,Azerbaijan,804,463,130,438,61
TIMSS,Bahrain,964,436,131,449,85
TIMSS,Chile,1228,462,231,480,161
TIMSS,Chinese Taipei,989,591,133,552,90
TIMSS,Croatia,776,490,134,516,95
TIMSS,Czech Republic,782,511,163,536,60
TIMSS,Denmark,863,537,124,528,62
TIMSS,England,970,542,188,529,76
TIMSS,Finland,779,545,139,570,98
TIMSS,Georgia,748,450,148,455,110
TIMSS,Germnay,863,528,163,528,75
TIMSS,Hong Kong,1059,602,158,535,88
TIMSS,Hungary,760,515,148,534,72
TIMSS,Iran,727,431,146,453,106
TIMSS,Ireland,854,527,150,516,63
TIMSS,Italy,1085,508,214,524,78
TIMSS,Japan,891,585,150,559,91
TIMSS,Kazakhstan,779,501,140,495,57
TIMSS,South Korea,789,605,121,587,92
TIMSS,Kuwait,928,342,120,347,85
TIMSS,Lithuania,649,534,133,515,60
TIMSS,Malta,891,496,183,446,39
TIMSS,Moroco,1040,335,174,264,44
TIMSS,Netherlands,1074,540,195,531,42
TIMSS,New Zealand,925,486,168,497,52
TIMSS,Northern Ireland,970,562,232,517,72
TIMSS,Norway,817,495,157,494,55
TIMSS,Oman,999,385,170,377,120
TIMSS,Poland,764,481,157,505,64
TIMSS,Portugal,940,532,250,522,162
TIMSS,Qatar,1068,413,185,394,135
TIMSS,Romania,796,482,148,505,56
TIMSS,Russia,660,542,104,552,49
TIMSS,Saudi Arabia,977,410,147,429,82
TIMSS,Serbia,778,516,153,516,72
TIMSS,Singapore,1012,606,208,583,96
TIMSS,Slovakia,780,507,147,532,101
TIMSS,Slovenia,684,513,169,520,101
TIMSS,Spain,884,482,167,505,145
TIMSS,Sweden,849,504,138,533,75
TIMSS,Thailand,1201,458,167,472,109
TIMSS,Tunisia,963,359,175,346,93
TIMSS,Turkey,900,469,126,463,94
TIMSS,UAE,1025,434,154,428,108
TIMSS,USA,1078,541,206,544,105
TIMSS,Yemen,831,248,135,209,91
BENCH,UAE (Abu Dhabi),1033,417,150,411,110
BENCH,Canada(Alberta),1006,507,169,541,130
BENCH,UAE(Dubai),993,468,158,461,99
BENCH,USA(Florida),1073,545,217,545,113
BENCH,USA(N. Carolina),1113,554,221,538,94
BENCH,Canada(Ontario),969,518,201,528,92
BENCH,Canada(Quebec),916,533,229,516,50
